Category,Country,Name
Player Given Name,usa,Elizabeth
Player Given Name,usa,Sofia
Player Given Name,usa,Avery
Player Given Name,usa,Ella
Player Given Name,usa,Scarlett
Player Given Name,usa,Grace
Player Given Name,usa,Chloe
Player Given Name,usa,Layla
Player Given Name,usa,Riley
Player Given Name,usa,Zoey
Player Given Name,usa,Nora
Player Given Name,usa,Lily
Player Given Name,usa,Eleanor
Player Given Name,usa,Hannah
Player Given Name,usa,Lillian
Player Given Name,usa,Addison
Player Given Name,usa,Aubrey
Player Given Name,usa,Ellie
Player Given Name,usa,Stella
Player Given Name,usa,Natalie
Player Given Name,usa,Zoe
Player Given Name,usa,Leah
Player Given Name,usa,Hazel
Player Given Name,usa,Violet
Player Given Name,usa,Aurora
Player Given Name,usa,Savannah
Player Given Name,usa,Audrey
Player Given Name,usa,Brooklyn
Player Given Name,usa,Bella
Player Given Name,usa,Claire
Player Given Name,usa,Skylar
Player Given Name,usa,Lucy
Player Given Name,usa,Paisley
Player Given Name,usa,Everly
Player Given Name,usa,Anna
Player Given Name,usa,Caroline
Player Given Name,usa,Nova
Player Given Name,usa,Genesis
Player Given Name,usa,Emilia
Player Given Name,usa,Kennedy
Player Given Name,usa,Samantha
Player Given Name,usa,Maya
Player Given Name,usa,Willow
Player Given Name,usa,Kinsley
Player Given Name,usa,Naomi
Player Given Name,usa,Emily
Player Given Name,usa,Hannah
Player Given Name,usa,Madison
Player Given Name,usa,Ashley
Player Given Name,usa,Sarah
Player Given Name,usa,Alexis
Player Given Name,usa,Samantha
Player Given Name,usa,Jessica
Player Given Name,usa,Elizabeth
Player Given Name,usa,Taylor
Player Given Name,usa,Lauren
Player Given Name,usa,Alyssa
Player Given Name,usa,Kayla
Player Given Name,usa,Abigail
Player Given Name,usa,Brianna
Player Given Name,usa,Olivia
Player Given Name,usa,Emma
Player Given Name,usa,Megan
Player Given Name,usa,Grace
Player Given Name,usa,Victoria
Player Given Name,usa,Rachel
Player Given Name,usa,Anna
Player Given Name,usa,Sydney
Player Given Name,usa,Destiny
Player Given Name,usa,Morgan
Player Given Name,usa,Jennifer
Player Given Name,usa,Jasmine
Player Given Name,usa,Haley
Player Given Name,usa,Julia
Player Given Name,usa,Kaitlyn
Player Given Name,usa,Nicole
Player Given Name,usa,Amanda
Player Given Name,usa,Katherine
Player Given Name,usa,Natalie
Player Given Name,usa,Hailey
Player Given Name,usa,Alexandra
Player Given Name,usa,Savannah
Player Given Name,usa,Chloe
Player Given Name,usa,Rebecca
Player Given Name,usa,Stephanie
Player Given Name,usa,Maria
Player Given Name,usa,Sophia
Player Given Name,usa,Mackenzie
Player Given Name,usa,Allison
Player Given Name,usa,Isabella
Player Given Name,usa,Amber
Player Given Name,usa,Mary
Player Given Name,usa,Danielle
Player Given Name,usa,Gabriella
Player Given Name,usa,Jordan
Player Given Name,usa,Laura
Player Given Name,usa,Cindy
Player Given Name,usa,Kimberly
Player Given Name,usa,Michelle
Player Given Name,usa,Destinee
Player Given Name,usa,Tiana
Player Given Name,usa,Asia
Player Given Name,usa,Briana
Player Given Name,usa,Keisha
Player Given Name,usa,Latasha
Player Given Name,usa,Shauna
Player Given Name,usa,Ebony
Player Given Name,usa,Jada
Player Given Name,usa,Kiana
Player Given Name,usa,Tierra
Player Given Name,usa,Diamond
Player Given Name,usa,Shanice
Player Given Name,usa,Shania
Player Given Name,usa,Deja
Player Given Name,usa,Kiara
Player Given Name,usa,Raven
Player Given Name,usa,Simone
Player Given Name,usa,Aaliyah
Player Given Name,usa,Makayla
Player Given Name,usa,Nia
Player Given Name,usa,Alisha
Player Given Name,usa,LaToya
Player Given Name,usa,Tasha
Player Given Name,usa,Brandy
Player Given Name,usa,Tamara
Player Given Name,usa,Crystal
Player Given Name,usa,April
Player Given Name,usa,Monique
Player Given Name,usa,Nikki
Player Given Name,usa,Tanya
Player Given Name,usa,Tasha
Player Given Name,usa,Krystal
Player Given Name,usa,Keana
Player Given Name,usa,Tanesha
Player Given Name,usa,Ayanna
Player Given Name,usa,Imani
Player Given Name,usa,Jordyn
Player Given Name,usa,Kylie
Player Given Name,usa,Madeline
Player Given Name,usa,Maya
Player Given Name,usa,Paige
Player Given Name,usa,Sierra
Player Given Name,usa,Summer
Player Given Name,usa,Trinity
Player Given Name,usa,Zoe
Player Given Name,usa,Chidinma
Player Given Name,usa,Fatima
Player Given Name,usa,Noor
Player Given Name,usa,Priya
Player Given Name,usa,Ingrid
Player Given Name,usa,Freya
Player Given Name,usa,Camila
Player Given Name,usa,Valentina
Player Given Name,usa,Amara
Player Given Name,usa,Nadia
Player Given Name,usa,Yuki
Player Given Name,usa,Hana
Player Given Name,usa,Mei
Player Given Name,usa,Aiko
Player Given Name,usa,Anh
Player Given Name,usa,Linh
Player Given Name,usa,Thandiwe
Player Given Name,usa,Zanele
Player Given Name,usa,Ngozi
Player Given Name,usa,Adaeze
Player Given Name,usa,Renee
Player Given Name,usa,Marisol
Player Given Name,usa,Celeste
Player Given Name,usa,Vivienne
Player Given Name,usa,Paloma
Player Given Name,usa,Isolde
Player Given Name,usa,Serena
Player Given Name,usa,Margot
Player Given Name,usa,Orla
Player Given Name,usa,Beatrix
Player Given Name,usa,Saoirse
Player Given Name,usa,Chiara
Player Given Name,usa,Elodie
Player Given Name,usa,Tamsin
Player Given Name,usa,Cleo
Player Given Name,usa,Vesper
Player Given Name,usa,Astrid
Player Given Name,usa,Imogen
Player Given Name,usa,Petra
Player Given Name,usa,Leonie
Player Given Name,usa,Sylvie
Player Given Name,usa,Reverie
Player Given Name,usa,Maren
Player Given Name,usa,Odette
Player Given Name,usa,Thea
Player Given Name,usa,Zinnia
Player Given Name,usa,Corinne
Player Given Name,usa,Isadora
Player Given Name,usa,Brigitte
Player Given Name,usa,Catarina
Player Given Name,usa,Dagmar
Player Given Name,usa,Elspeth
Player Given Name,usa,Greta
Player Given Name,usa,Helene
Player Given Name,usa,Josefine
Player Given Name,usa,Katja
Player Given Name,usa,Liselotte
Player Given Name,usa,Mirela
Player Given Name,usa,Nadège
Player Given Name,usa,Orsolya
Player Given Name,usa,Quirine
Player Given Name,usa,Ragnhild
Player Given Name,usa,Siobhan
Player Given Name,usa,Tuulikki
Player Given Name,usa,Ulrike
Player Given Name,usa,Vendela
Player Given Name,usa,Wiesława
Player Given Name,usa,Xenia
Player Given Name,usa,Yelena
Player Given Name,usa,Zofia
Player Given Name,usa,Anneliese
Player Given Name,usa,Bríd
Player Given Name,usa,Cécile
Player Given Name,usa,Dorota
Player Given Name,usa,Geneviève
Player Given Name,usa,Chantal
Player Given Name,usa,Véronique
Player Given Name,usa,Nathalie
Player Given Name,usa,Céline
Player Given Name,usa,Dominique
Player Given Name,usa,Amélie
Player Given Name,usa,Marigold
Player Given Name,usa,Girly
Player Given Name,usa,Ashton
Player Given Name,usa,Queen
Player Given Name,usa,Wilma
Player Given Name,usa,Squid
Player Given Name,usa,Daffney
Player Given Name,usa,Yessica
Player Given Name,usa,Jess
Player Given Name,usa,Amy
Player Given Name,usa,Angela
Player Given Name,usa,Barbara
Player Given Name,usa,Betty
Player Given Name,usa,Brenda
Player Given Name,usa,Carol
Player Given Name,usa,Carolyn
Player Given Name,usa,Catherine
Player Given Name,usa,Christine
Player Given Name,usa,Cynthia
Player Given Name,usa,Deborah
Player Given Name,usa,Debra
Player Given Name,usa,Donna
Player Given Name,usa,Dorothy
Player Given Name,usa,Heather
Player Given Name,usa,Helen
Player Given Name,usa,Janet
Player Given Name,usa,Karen
Player Given Name,usa,Kathleen
Player Given Name,usa,Linda
Player Given Name,usa,Margaret
Player Given Name,usa,Melissa
Player Given Name,usa,Nancy
Player Given Name,usa,Pamela
Player Given Name,usa,Patricia
Player Given Name,usa,Sandra
Player Given Name,usa,Sharon
Player Given Name,usa,Shirley
Player Given Name,usa,Susan
Player Given Name,usa,Marge
Player Given Name,usa,Abby
Player Given Name,usa,Becky
Player Given Name,usa,Daisy
Player Given Name,usa,Holly
Player Given Name,usa,Judy
Player Given Name,usa,Kelly
Player Given Name,usa,Macy
Player Given Name,usa,Molly
Player Given Name,usa,Penny
Player Given Name,usa,Ruby
Player Given Name,usa,Sally
Player Given Name,usa,Wendy
Player Given Name,usa,Anna-Marie
Player Given Name,usa,Betty-Lou
Player Given Name,usa,Billie-Jean
Player Given Name,usa,Bobbi-Sue
Player Given Name,usa,Jo-Ann
Player Given Name,usa,Mary-Beth
Player Given Name,usa,Mary-Jane
Player Given Name,usa,Mary-Kate
Player Given Name,usa,Peggy-Sue
Player Given Name,usa,Sarah-Jane
Player Given Name,usa,Beulah
Player Given Name,usa,Clementine
Player Given Name,usa,Dixie
Player Given Name,usa,Elvira
Player Given Name,usa,Eula
Player Given Name,usa,Henrietta
Player Given Name,usa,Loretta
Player Given Name,usa,Luanne
Player Given Name,usa,Myrtle
Player Given Name,usa,Opal
Player Given Name,usa,Pearl
Player Given Name,usa,Verna
Player Given Name,usa,Velma
Player Given Name,usa,Kat
Player Given Name,usa,Mare
Player Given Name,usa,Adeline
Player Given Name,usa,Alice
Player Given Name,usa,Alicia
Player Given Name,usa,Anastasia
Player Given Name,usa,Andrea
Player Given Name,usa,Angelica
Player Given Name,usa,Anita
Player Given Name,usa,Annabelle
Player Given Name,usa,Aria
Player Given Name,usa,Ariana
Player Given Name,usa,Ariel
Player Given Name,usa,Athena
Player Given Name,usa,Autumn
Player Given Name,usa,Bailey
Player Given Name,usa,Bethany
Player Given Name,usa,Bianca
Player Given Name,usa,Blair
Player Given Name,usa,Blake
Player Given Name,usa,Bonnie
Player Given Name,usa,Brittany
Player Given Name,usa,Brooke
Player Given Name,usa,Cadence
Player Given Name,usa,Callie
Player Given Name,usa,Cameron
Player Given Name,usa,Cara
Player Given Name,usa,Carly
Player Given Name,usa,Carmen
Player Given Name,usa,Cassandra
Player Given Name,usa,Cassidy
Player Given Name,usa,Catalina
Player Given Name,usa,Cecilia
Player Given Name,usa,Celia
Player Given Name,usa,Cheyenne
Player Given Name,usa,Clara
Player Given Name,usa,Colette
Player Given Name,usa,Cora
Player Given Name,usa,Dahlia
Player Given Name,usa,Dakota
Player Given Name,usa,Dana
Player Given Name,usa,Daniela
Player Given Name,usa,Daphne
Player Given Name,usa,Darlene
Player Given Name,usa,Dawn
Player Given Name,usa,Delaney
Player Given Name,usa,Delilah
Player Given Name,usa,Diane
Player Given Name,usa,Eden
Player Given Name,usa,Edith
Player Given Name,usa,Eileen
Player Given Name,usa,Elaine
Player Given Name,usa,Eliza
Player Given Name,usa,Elsa
Player Given Name,usa,Erin
Player Given Name,usa,Esme
Player Given Name,usa,Estelle
Player Given Name,usa,Esther
Player Given Name,usa,Eva
Player Given Name,usa,Evalyn
Player Given Name,usa,Evangeline
Player Given Name,usa,Faith
Player Given Name,usa,Felicity
Player Given Name,usa,Fiona
Player Given Name,usa,Flora
Player Given Name,usa,Florence
Player Given Name,usa,Frances
Player Given Name,usa,Francine
Player Given Name,usa,Gail
Player Given Name,usa,Gemma
Player Given Name,usa,Georgia
Player Given Name,usa,Gianna
Player Given Name,usa,Gillian
Player Given Name,usa,Gina
Player Given Name,usa,Giselle
Player Given Name,usa,Gloria
Player Given Name,usa,Gwendolyn
Player Given Name,usa,Hallie
Player Given Name,usa,Harley
Player Given Name,usa,Harmony
Player Given Name,usa,Heidi
Player Given Name,usa,Hope
Player Given Name,usa,Irene
Player Given Name,usa,Iris
Player Given Name,usa,Isla
Player Given Name,usa,Ivy
Player Given Name,usa,Jacqueline
Player Given Name,usa,Jade
Player Given Name,usa,Jamie
Player Given Name,usa,Jane
Player Given Name,usa,Jean
Player Given Name,usa,Jenna
Player Given Name,usa,Jillian
Player Given Name,usa,Joan
Player Given Name,usa,Jocelyn
Player Given Name,usa,Josephine
Player Given Name,usa,Joy
Player Given Name,usa,Joyce
Player Given Name,usa,Juliana
Player Given Name,usa,Juliet
Player Given Name,usa,June
Player Given Name,usa,Juniper
Player Given Name,usa,Justine
Player Given Name,usa,Kacey
Player Given Name,usa,Karina
Player Given Name,usa,Karla
Player Given Name,usa,Katelyn
Player Given Name,usa,Keira
Player Given Name,usa,Kendall
Player Given Name,usa,Kira
Player Given Name,usa,Kirsten
Player Given Name,usa,Kristen
Player Given Name,usa,Kristina
Player Given Name,usa,Kyla
Player Given Name,usa,Lana
Player Given Name,usa,Lara
Player Given Name,usa,Lorelei
Player Given Name,usa,Maeve
Player Given Name,usa,Mallory
Player Given Name,usa,Matilda
Player Given Name,usa,Meredith
Player Given Name,usa,Natalia
Player Given Name,usa,Nina
Player Given Name,usa,Noelle
Player Given Name,usa,Octavia
Player Given Name,usa,Penelope
Player Given Name,usa,Piper
Player Given Name,usa,Ramona
Player Given Name,usa,Rosalind
Player Given Name,usa,Tessa
Player Given Name,usa,Valerie
Player Given Name,usa,Bex
Player Given Name,canada,Bridget
Player Given Name,canada,Natalie
Player Given Name,canada,Kia
Player Given Name,canada,Shai
Player Given Name,canada,Nayo
Player Given Name,canada,Miranda
Player Given Name,canada,Laeticia
Player Given Name,canada,Kayla
Player Given Name,canada,Shay
Player Given Name,canada,Sami
Player Given Name,canada,Mael
Player Given Name,canada,Taya
Player Given Name,canada,Sarah
Player Given Name,canada,Merissah
Player Given Name,canada,Aaliyah
Player Given Name,canada,Yvonne
Player Given Name,canada,Abigail
Player Given Name,canada,Cassandre
Player Given Name,canada,Syla
Player Given Name,canada,Frederique
Player Given Name,canada,Kim
Player Given Name,canada,Shona
Player Given Name,canada,Miah
Player Given Name,canada,Teresa
Player Given Name,canada,Katherine
Player Given Name,australia,Lauren
Player Given Name,australia,Ezi
Player Given Name,australia,Liz
Player Given Name,australia,Penny
Player Given Name,australia,Steph
Player Given Name,australia,Bec
Player Given Name,australia,Alanna
Player Given Name,australia,Kristy
Player Given Name,australia,Cayla
Player Given Name,australia,Marianna
Player Given Name,australia,Sami
Player Given Name,australia,Tiana
Player Given Name,australia,Darcee
Player Given Name,australia,Isobel
Player Given Name,australia,Jade
Player Given Name,australia,Shyla
Player Given Name,australia,Alice
Player Given Name,australia,Anneli
Player Given Name,australia,Maddison
Player Given Name,australia,Chloe
Player Given Name,australia,Sami
Player Given Name,australia,Jasmine
Player Given Name,australia,Opals
Player Given Name,australia,Keely
Player Given Name,australia,Molly
Player Given Name,belgium,Emma
Player Given Name,belgium,Julie
Player Given Name,belgium,Kyara
Player Given Name,belgium,Antonia
Player Given Name,belgium,Elise
Player Given Name,belgium,Hind
Player Given Name,belgium,Becky
Player Given Name,belgium,Maxuella
Player Given Name,belgium,Serena
Player Given Name,belgium,Billie
Player Given Name,belgium,Ine
Player Given Name,belgium,Laure
Player Given Name,belgium,Lies
Player Given Name,belgium,Nastja
Player Given Name,belgium,Noortje
Player Given Name,belgium,Katrien
Player Given Name,belgium,Jitte
Player Given Name,belgium,Merel
Player Given Name,belgium,Emilie
Player Given Name,belgium,Eline
Player Given Name,belgium,Hanne
Player Given Name,belgium,Marie
Player Given Name,belgium,Jana
Player Given Name,belgium,Heleen
Player Given Name,belgium,Sien
Player Given Name,brazil,Kamilla
Player Given Name,brazil,Janeth
Player Given Name,brazil,Damiris
Player Given Name,brazil,Clarissa
Player Given Name,brazil,Erika
Player Given Name,brazil,Iziane
Player Given Name,brazil,Adrian
Player Given Name,brazil,Carla
Player Given Name,brazil,Raphaella
Player Given Name,brazil,Taina
Player Given Name,brazil,Stephanie
Player Given Name,brazil,Marciane
Player Given Name,brazil,Patricio
Player Given Name,brazil,Geisa
Player Given Name,brazil,Joice
Player Given Name,brazil,Micaela
Player Given Name,brazil,Victoria
Player Given Name,brazil,Alana
Player Given Name,brazil,Leticia
Player Given Name,brazil,Sassá
Player Given Name,brazil,Silvia
Player Given Name,brazil,Alessandra
Player Given Name,brazil,Helen
Player Given Name,brazil,Cintia
Player Given Name,brazil,Kelly
Player Given Name,china,Han
Player Given Name,china,Meng
Player Given Name,china,Siyu
Player Given Name,china,Li
Player Given Name,china,Yuan
Player Given Name,china,Xu
Player Given Name,china,Shao
Player Given Name,china,Wu
Player Given Name,china,Zhang
Player Given Name,china,Wang
Player Given Name,china,Chen
Player Given Name,china,Liu
Player Given Name,china,Yang
Player Given Name,china,Huang
Player Given Name,china,Zheng
Player Given Name,china,Sun
Player Given Name,china,Zhu
Player Given Name,china,Guo
Player Given Name,china,Qian
Player Given Name,china,Pan
Player Given Name,china,Li
Player Given Name,china,Chen
Player Given Name,china,Wang
Player Given Name,china,Zhang
Player Given Name,china,Liu
Player Given Name,czechRepublic,Veronika
Player Given Name,czechRepublic,Katerina
Player Given Name,czechRepublic,Alena
Player Given Name,czechRepublic,Michaela
Player Given Name,czechRepublic,Petra
Player Given Name,czechRepublic,Lucie
Player Given Name,czechRepublic,Tereza
Player Given Name,czechRepublic,Gabriela
Player Given Name,czechRepublic,Eva
Player Given Name,czechRepublic,Hana
Player Given Name,czechRepublic,Marketa
Player Given Name,czechRepublic,Zuzana
Player Given Name,czechRepublic,Lenka
Player Given Name,czechRepublic,Jana
Player Given Name,czechRepublic,Kamila
Player Given Name,czechRepublic,Barbora
Player Given Name,czechRepublic,Klera
Player Given Name,czechRepublic,Monika
Player Given Name,czechRepublic,Radka
Player Given Name,czechRepublic,Adela
Player Given Name,czechRepublic,Ilona
Player Given Name,czechRepublic,Michaela
Player Given Name,czechRepublic,Romana
Player Given Name,czechRepublic,Jana
Player Given Name,czechRepublic,Tereza
Player Given Name,finland,Awk
Player Given Name,finland,Elina
Player Given Name,finland,Linda-Lotta
Player Given Name,finland,Sofia
Player Given Name,finland,Anni
Player Given Name,finland,Sara
Player Given Name,finland,Roosa
Player Given Name,finland,Lotta-Maj
Player Given Name,finland,Helmi
Player Given Name,finland,Mari
Player Given Name,finland,Kaisa
Player Given Name,finland,Merja
Player Given Name,finland,Hanna
Player Given Name,finland,Minna
Player Given Name,finland,Katja
Player Given Name,finland,Tiina
Player Given Name,finland,Johanna
Player Given Name,finland,Pia
Player Given Name,finland,Susanna
Player Given Name,finland,Riikka
Player Given Name,finland,Vilma
Player Given Name,finland,Noora
Player Given Name,finland,Emmi
Player Given Name,finland,Veera
Player Given Name,finland,Tuuli
Player Given Name,france,Marine
Player Given Name,france,Dominique
Player Given Name,france,Sandrine
Player Given Name,france,Valeriane
Player Given Name,france,Iliana
Player Given Name,france,Gabby
Player Given Name,france,Sarah
Player Given Name,france,Alexia
Player Given Name,france,Janelle
Player Given Name,france,Mamignan
Player Given Name,france,Valerie
Player Given Name,france,Helena
Player Given Name,france,Pauline
Player Given Name,france,Romane
Player Given Name,france,Karisma
Player Given Name,france,Marie
Player Given Name,france,Carla
Player Given Name,france,Leila
Player Given Name,france,Kadiatou
Player Given Name,france,Janelle
Player Given Name,france,Sandrine
Player Given Name,france,Endene
Player Given Name,france,Celine
Player Given Name,france,Emmanuelle
Player Given Name,france,Aby
Player Given Name,germany,Leonie
Player Given Name,germany,Satou
Player Given Name,germany,Marie
Player Given Name,germany,Sonja
Player Given Name,germany,Luisa
Player Given Name,germany,Alexis
Player Given Name,germany,Romy
Player Given Name,germany,Emily
Player Given Name,germany,Laura
Player Given Name,germany,Frieda
Player Given Name,germany,Lena
Player Given Name,germany,Sarah
Player Given Name,germany,Lisa
Player Given Name,germany,Anna
Player Given Name,germany,Julia
Player Given Name,germany,Franziska
Player Given Name,germany,Katrin
Player Given Name,germany,Nadine
Player Given Name,germany,Melanie
Player Given Name,germany,Sabrina
Player Given Name,germany,Ina
Player Given Name,germany,Jennifer
Player Given Name,germany,Romy
Player Given Name,germany,Ama
Player Given Name,germany,Leonor
Player Given Name,greece,Artemis
Player Given Name,greece,Evanthia
Player Given Name,greece,Angeliki
Player Given Name,greece,Mariella
Player Given Name,greece,Ioanna
Player Given Name,greece,Pinelopi
Player Given Name,greece,Stella
Player Given Name,greece,Elena
Player Given Name,greece,Afroditi
Player Given Name,greece,Anna
Player Given Name,greece,Vasiliki
Player Given Name,greece,Christina
Player Given Name,greece,Georgia
Player Given Name,greece,Eleni
Player Given Name,greece,Katerina
Player Given Name,greece,Danai
Player Given Name,greece,Styliani
Player Given Name,greece,Zoi
Player Given Name,greece,Panagiota
Player Given Name,greece,Sofia
Player Given Name,greece,Evi
Player Given Name,greece,Styliani
Player Given Name,greece,Aggeliki
Player Given Name,greece,Katerina
Player Given Name,greece,Afroditi
Player Given Name,hungary,Dora
Player Given Name,hungary,Bernadett
Player Given Name,hungary,Cyesha
Player Given Name,hungary,Virag
Player Given Name,hungary,Debora
Player Given Name,hungary,Reka
Player Given Name,hungary,Katalin
Player Given Name,hungary,Agnes
Player Given Name,hungary,Nikolett
Player Given Name,hungary,Barbara
Player Given Name,hungary,Anita
Player Given Name,hungary,Zsofia
Player Given Name,hungary,Eszter
Player Given Name,hungary,Orsolya
Player Given Name,hungary,Kitti
Player Given Name,hungary,Viktoria
Player Given Name,hungary,Flora
Player Given Name,hungary,Roxana
Player Given Name,hungary,Kinga
Player Given Name,hungary,Lilla
Player Given Name,hungary,Reka
Player Given Name,hungary,Krisztina
Player Given Name,hungary,Zsofia
Player Given Name,hungary,Eszter
Player Given Name,hungary,Nikolett
Player Given Name,italy,Cecilia
Player Given Name,italy,Martina
Player Given Name,italy,Francesca
Player Given Name,italy,Jasmine
Player Given Name,italy,Costanza
Player Given Name,italy,Beatrice
Player Given Name,italy,Sara
Player Given Name,italy,Olga
Player Given Name,italy,Valeria
Player Given Name,italy,Silvia
Player Given Name,italy,Giorgia
Player Given Name,italy,Chiara
Player Given Name,italy,Elena
Player Given Name,italy,Laura
Player Given Name,italy,Federica
Player Given Name,italy,Caterina
Player Given Name,italy,Alessia
Player Given Name,italy,Martina
Player Given Name,italy,Nicole
Player Given Name,italy,Matilde
Player Given Name,italy,Gaia
Player Given Name,italy,Nicole
Player Given Name,italy,Francesca
Player Given Name,italy,Chiara
Player Given Name,italy,Martina
Player Given Name,mexico,Gabriela
Player Given Name,mexico,Sofia
Player Given Name,mexico,Alejandra
Player Given Name,mexico,Fernanda
Player Given Name,mexico,Maria
Player Given Name,mexico,Valentina
Player Given Name,mexico,Ximena
Player Given Name,mexico,Camila
Player Given Name,mexico,Mariana
Player Given Name,mexico,Victoria
Player Given Name,mexico,Renata
Player Given Name,mexico,Daniela
Player Given Name,mexico,Regina
Player Given Name,mexico,Valeria
Player Given Name,mexico,Lucia
Player Given Name,mexico,Andrea
Player Given Name,mexico,Paula
Player Given Name,mexico,Sara
Player Given Name,mexico,Jimena
Player Given Name,mexico,Natalia
Player Given Name,mexico,Paulina
Player Given Name,mexico,Ana
Player Given Name,mexico,Carmen
Player Given Name,mexico,Rosa
Player Given Name,mexico,Elena
Player Given Name,nigeria,Evelyn
Player Given Name,nigeria,Amy
Player Given Name,nigeria,Promise
Player Given Name,nigeria,Adaora
Player Given Name,nigeria,Murjanatu
Player Given Name,nigeria,Pallas
Player Given Name,nigeria,Sarah
Player Given Name,nigeria,Elizabeth
Player Given Name,nigeria,Victoria
Player Given Name,nigeria,Blessing
Player Given Name,nigeria,Ruth
Player Given Name,nigeria,Patience
Player Given Name,nigeria,Mercy
Player Given Name,nigeria,Joy
Player Given Name,nigeria,Deborah
Player Given Name,nigeria,Hauwa
Player Given Name,nigeria,Nkechi
Player Given Name,nigeria,Chidinma
Player Given Name,nigeria,Ogechi
Player Given Name,nigeria,Chinwe
Player Given Name,nigeria,Nkem
Player Given Name,nigeria,Upe
Player Given Name,nigeria,Ngozi
Player Given Name,nigeria,Chioma
Player Given Name,nigeria,Ify
Player Given Name,senegal,Astou
Player Given Name,senegal,Oumou
Player Given Name,senegal,Mame-Marie
Player Given Name,senegal,Yacine
Player Given Name,senegal,Bintou
Player Given Name,senegal,Fatou
Player Given Name,senegal,Aminata
Player Given Name,senegal,Sokhna
Player Given Name,senegal,Ndeye
Player Given Name,senegal,Khadija
Player Given Name,senegal,Rokhaya
Player Given Name,senegal,Aicha
Player Given Name,senegal,Mariama
Player Given Name,senegal,Coumba
Player Given Name,senegal,Mously
Player Given Name,senegal,Adama
Player Given Name,senegal,Awa
Player Given Name,senegal,Korka
Player Given Name,senegal,Bineta
Player Given Name,senegal,Seynabou
Player Given Name,senegal,Fatou
Player Given Name,senegal,Astou
Player Given Name,senegal,Oumou
Player Given Name,senegal,Mame
Player Given Name,senegal,Bineta
Player Given Name,serbia,Ana
Player Given Name,serbia,Sonja
Player Given Name,serbia,Jelena
Player Given Name,serbia,Nevena
Player Given Name,serbia,Saša
Player Given Name,serbia,Dragana
Player Given Name,serbia,Tamara
Player Given Name,serbia,Tina
Player Given Name,serbia,Maja
Player Given Name,serbia,Aleksandra
